[0911/124319.247:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1004/122249.160:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122254.168:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122259.182:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122304.193:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122309.198:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122314.203:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122319.211:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122324.231:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122329.244:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122334.246:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122339.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122344.259:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122349.264:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122354.270:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122359.276:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1004/122403.211:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
